task,check,max_error,status
ELASTICNET__NET_R__FULL486__g2__m202502,ABS_0.05_total_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,ABS_0.05_maxdd_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,ABS_0.05_neighbor_low,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,ABS_0.05_neighbor_high,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,ABS_0.1_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,ABS_0.1_trades,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,ABS_0.1_expectancy_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,ABS_0.1_pf,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,ABS_0.1_total_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,ABS_0.1_maxdd_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,ABS_0.1_neighbor_low,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,ABS_0.1_neighbor_high,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,ALL_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,ALL_trades,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,ALL_expectancy_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,ALL_pf,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,ALL_total_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,ALL_maxdd_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,ALL_neighbor_low,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,ALL_neighbor_high,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,PERCENTILE_100_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,PERCENTILE_100_trades,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,PERCENTILE_100_expectancy_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,PERCENTILE_100_pf,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,PERCENTILE_100_total_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,PERCENTILE_100_maxdd_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,PERCENTILE_100_neighbor_low,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,PERCENTILE_100_neighbor_high,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,FREQUENCY_100_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,FREQUENCY_100_trades,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,FREQUENCY_100_expectancy_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,FREQUENCY_100_pf,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,FREQUENCY_100_total_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,FREQUENCY_100_maxdd_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,FREQUENCY_100_neighbor_low,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,FREQUENCY_100_neighbor_high,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,PERCENTILE_150_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,PERCENTILE_150_trades,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,PERCENTILE_150_expectancy_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,PERCENTILE_150_pf,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,PERCENTILE_150_total_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,PERCENTILE_150_maxdd_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,PERCENTILE_150_neighbor_low,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,PERCENTILE_150_neighbor_high,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,FREQUENCY_150_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,FREQUENCY_150_trades,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,FREQUENCY_150_expectancy_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,FREQUENCY_150_pf,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,FREQUENCY_150_total_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,FREQUENCY_150_maxdd_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,FREQUENCY_150_neighbor_low,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,FREQUENCY_150_neighbor_high,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,PERCENTILE_200_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,PERCENTILE_200_trades,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,PERCENTILE_200_expectancy_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,PERCENTILE_200_pf,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,PERCENTILE_200_total_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,PERCENTILE_200_maxdd_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,PERCENTILE_200_neighbor_low,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,PERCENTILE_200_neighbor_high,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,FREQUENCY_200_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,FREQUENCY_200_trades,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,FREQUENCY_200_expectancy_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,FREQUENCY_200_pf,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,FREQUENCY_200_total_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,FREQUENCY_200_maxdd_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,FREQUENCY_200_neighbor_low,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,FREQUENCY_200_neighbor_high,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,PERCENTILE_300_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,PERCENTILE_300_trades,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,PERCENTILE_300_expectancy_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,PERCENTILE_300_pf,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,PERCENTILE_300_total_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,PERCENTILE_300_maxdd_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,PERCENTILE_300_neighbor_low,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,PERCENTILE_300_neighbor_high,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,FREQUENCY_300_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,FREQUENCY_300_trades,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,FREQUENCY_300_expectancy_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,FREQUENCY_300_pf,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,FREQUENCY_300_total_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,FREQUENCY_300_maxdd_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,FREQUENCY_300_neighbor_low,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202502,FREQUENCY_300_neighbor_high,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,indices,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,long_score,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,short_score,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,ABS_0_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,ABS_0_trades,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,ABS_0_expectancy_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,ABS_0_pf,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,ABS_0_total_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,ABS_0_maxdd_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,ABS_0_neighbor_low,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,ABS_0_neighbor_high,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,ABS_0.05_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,ABS_0.05_trades,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,ABS_0.05_expectancy_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,ABS_0.05_pf,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,ABS_0.05_total_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,ABS_0.05_maxdd_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,ABS_0.05_neighbor_low,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,ABS_0.05_neighbor_high,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,ABS_0.1_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,ABS_0.1_trades,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,ABS_0.1_expectancy_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,ABS_0.1_pf,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,ABS_0.1_total_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,ABS_0.1_maxdd_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,ABS_0.1_neighbor_low,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,ABS_0.1_neighbor_high,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,ALL_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,ALL_trades,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,ALL_expectancy_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,ALL_pf,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,ALL_total_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,ALL_maxdd_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,ALL_neighbor_low,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,ALL_neighbor_high,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,PERCENTILE_100_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,PERCENTILE_100_trades,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,PERCENTILE_100_expectancy_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,PERCENTILE_100_pf,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,PERCENTILE_100_total_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,PERCENTILE_100_maxdd_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,PERCENTILE_100_neighbor_low,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,PERCENTILE_100_neighbor_high,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,FREQUENCY_100_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,FREQUENCY_100_trades,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,FREQUENCY_100_expectancy_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,FREQUENCY_100_pf,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,FREQUENCY_100_total_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,FREQUENCY_100_maxdd_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,FREQUENCY_100_neighbor_low,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,FREQUENCY_100_neighbor_high,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,PERCENTILE_150_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,PERCENTILE_150_trades,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,PERCENTILE_150_expectancy_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,PERCENTILE_150_pf,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,PERCENTILE_150_total_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,PERCENTILE_150_maxdd_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,PERCENTILE_150_neighbor_low,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,PERCENTILE_150_neighbor_high,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,FREQUENCY_150_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,FREQUENCY_150_trades,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,FREQUENCY_150_expectancy_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,FREQUENCY_150_pf,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,FREQUENCY_150_total_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,FREQUENCY_150_maxdd_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,FREQUENCY_150_neighbor_low,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,FREQUENCY_150_neighbor_high,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,PERCENTILE_200_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,PERCENTILE_200_trades,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,PERCENTILE_200_expectancy_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,PERCENTILE_200_pf,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,PERCENTILE_200_total_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,PERCENTILE_200_maxdd_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,PERCENTILE_200_neighbor_low,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,PERCENTILE_200_neighbor_high,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,FREQUENCY_200_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,FREQUENCY_200_trades,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,FREQUENCY_200_expectancy_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,FREQUENCY_200_pf,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,FREQUENCY_200_total_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,FREQUENCY_200_maxdd_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,FREQUENCY_200_neighbor_low,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,FREQUENCY_200_neighbor_high,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,PERCENTILE_300_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,PERCENTILE_300_trades,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,PERCENTILE_300_expectancy_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,PERCENTILE_300_pf,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,PERCENTILE_300_total_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,PERCENTILE_300_maxdd_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,PERCENTILE_300_neighbor_low,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,PERCENTILE_300_neighbor_high,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,FREQUENCY_300_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,FREQUENCY_300_trades,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,FREQUENCY_300_expectancy_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,FREQUENCY_300_pf,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,FREQUENCY_300_total_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,FREQUENCY_300_maxdd_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,FREQUENCY_300_neighbor_low,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202503,FREQUENCY_300_neighbor_high,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,indices,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,long_score,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,short_score,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,ABS_0_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,ABS_0_trades,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,ABS_0_expectancy_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,ABS_0_pf,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,ABS_0_total_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,ABS_0_maxdd_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,ABS_0_neighbor_low,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,ABS_0_neighbor_high,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,ABS_0.05_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,ABS_0.05_trades,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,ABS_0.05_expectancy_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,ABS_0.05_pf,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,ABS_0.05_total_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,ABS_0.05_maxdd_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,ABS_0.05_neighbor_low,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,ABS_0.05_neighbor_high,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,ABS_0.1_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,ABS_0.1_trades,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,ABS_0.1_expectancy_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,ABS_0.1_pf,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,ABS_0.1_total_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,ABS_0.1_maxdd_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,ABS_0.1_neighbor_low,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,ABS_0.1_neighbor_high,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,ALL_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,ALL_trades,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,ALL_expectancy_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,ALL_pf,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,ALL_total_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,ALL_maxdd_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,ALL_neighbor_low,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,ALL_neighbor_high,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,PERCENTILE_100_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,PERCENTILE_100_trades,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,PERCENTILE_100_expectancy_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,PERCENTILE_100_pf,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,PERCENTILE_100_total_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,PERCENTILE_100_maxdd_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,PERCENTILE_100_neighbor_low,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,PERCENTILE_100_neighbor_high,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,FREQUENCY_100_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,FREQUENCY_100_trades,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,FREQUENCY_100_expectancy_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,FREQUENCY_100_pf,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,FREQUENCY_100_total_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,FREQUENCY_100_maxdd_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,FREQUENCY_100_neighbor_low,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,FREQUENCY_100_neighbor_high,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,PERCENTILE_150_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,PERCENTILE_150_trades,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,PERCENTILE_150_expectancy_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,PERCENTILE_150_pf,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,PERCENTILE_150_total_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,PERCENTILE_150_maxdd_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,PERCENTILE_150_neighbor_low,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,PERCENTILE_150_neighbor_high,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,FREQUENCY_150_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,FREQUENCY_150_trades,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,FREQUENCY_150_expectancy_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,FREQUENCY_150_pf,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,FREQUENCY_150_total_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,FREQUENCY_150_maxdd_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,FREQUENCY_150_neighbor_low,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,FREQUENCY_150_neighbor_high,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,PERCENTILE_200_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,PERCENTILE_200_trades,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,PERCENTILE_200_expectancy_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,PERCENTILE_200_pf,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,PERCENTILE_200_total_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,PERCENTILE_200_maxdd_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,PERCENTILE_200_neighbor_low,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,PERCENTILE_200_neighbor_high,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,FREQUENCY_200_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,FREQUENCY_200_trades,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,FREQUENCY_200_expectancy_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,FREQUENCY_200_pf,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,FREQUENCY_200_total_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,FREQUENCY_200_maxdd_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,FREQUENCY_200_neighbor_low,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,FREQUENCY_200_neighbor_high,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,PERCENTILE_300_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,PERCENTILE_300_trades,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,PERCENTILE_300_expectancy_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,PERCENTILE_300_pf,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,PERCENTILE_300_total_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,PERCENTILE_300_maxdd_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,PERCENTILE_300_neighbor_low,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,PERCENTILE_300_neighbor_high,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,FREQUENCY_300_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,FREQUENCY_300_trades,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,FREQUENCY_300_expectancy_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,FREQUENCY_300_pf,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,FREQUENCY_300_total_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,FREQUENCY_300_maxdd_r,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,FREQUENCY_300_neighbor_low,0,PASS
ELASTICNET__NET_R__FULL486__g2__m202504,FREQUENCY_300_neighbor_high,0,PASS
ELASTICNET__NET_R__FULL486__g3__m202502,indices,0,PASS
ELASTICNET__NET_R__FULL486__g3__m202502,long_score,0,PASS
ELASTICNET__NET_R__FULL486__g3__m202502,short_score,0,PASS
ELASTICNET__NET_R__FULL486__g3__m202502,ABS_0_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g3__m202502,ABS_0_trades,0,PASS
ELASTICNET__NET_R__FULL486__g3__m202502,ABS_0_expectancy_r,0,PASS
ELASTICNET__NET_R__FULL486__g3__m202502,ABS_0_pf,0,PASS
ELASTICNET__NET_R__FULL486__g3__m202502,ABS_0_total_r,0,PASS
ELASTICNET__NET_R__FULL486__g3__m202502,ABS_0_maxdd_r,0,PASS
ELASTICNET__NET_R__FULL486__g3__m202502,ABS_0_neighbor_low,0,PASS
ELASTICNET__NET_R__FULL486__g3__m202502,ABS_0_neighbor_high,0,PASS
ELASTICNET__NET_R__FULL486__g3__m202502,ABS_0.05_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g3__m202502,ABS_0.05_trades,0,PASS
ELASTICNET__NET_R__FULL486__g3__m202502,ABS_0.05_expectancy_r,0,PASS
ELASTICNET__NET_R__FULL486__g3__m202502,ABS_0.05_pf,0,PASS
ELASTICNET__NET_R__FULL486__g3__m202502,ABS_0.05_total_r,0,PASS
ELASTICNET__NET_R__FULL486__g3__m202502,ABS_0.05_maxdd_r,0,PASS
ELASTICNET__NET_R__FULL486__g3__m202502,ABS_0.05_neighbor_low,0,PASS
ELASTICNET__NET_R__FULL486__g3__m202502,ABS_0.05_neighbor_high,0,PASS
ELASTICNET__NET_R__FULL486__g3__m202502,ABS_0.1_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g3__m202502,ABS_0.1_trades,0,PASS
ELASTICNET__NET_R__FULL486__g3__m202502,ABS_0.1_expectancy_r,0,PASS
ELASTICNET__NET_R__FULL486__g3__m202502,ABS_0.1_pf,0,PASS
ELASTICNET__NET_R__FULL486__g3__m202502,ABS_0.1_total_r,0,PASS
ELASTICNET__NET_R__FULL486__g3__m202502,ABS_0.1_maxdd_r,0,PASS
ELASTICNET__NET_R__FULL486__g3__m202502,ABS_0.1_neighbor_low,0,PASS
ELASTICNET__NET_R__FULL486__g3__m202502,ABS_0.1_neighbor_high,0,PASS
ELASTICNET__NET_R__FULL486__g3__m202502,ALL_threshold,0,PASS
ELASTICNET__NET_R__FULL486__g3__m202502,ALL_trades,0,PASS
ELASTICNET__NET_R__FULL486__g3__m202502,ALL_expectancy_r,0,PASS
ELASTICNET__NET_R__FULL486__g3__m202502,ALL_pf,0,PASS
